Informe de alerta de HP SiteScope - Tabla
"Monitor","Tipo","Estado","Mensaje","Fecha","Grupo",
"CPU IMSSEX16MB11","Mailto","Pass","hco-cmi@kionetworks.com francisco.diazpa@imss.gob.mx imss.monitoreo@imss.gob.mx mflores@kionetworks.com omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","18/04/22 12:12 PM","SERVIDORES 2016 (Correo Electronico): IMSSEX16MB11",
"FileSystem IMSSEX16MB19","Mailto","Pass","hco-cmi@kionetworks.com francisco.diazpa@imss.gob.mx imss.monitoreo@imss.gob.mx mflores@kionetworks.com omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","19/04/22 10:32 AM","SERVIDORES 2016 (Correo Electronico): IMSSEX16MB19: FileSystem IMSSEX16MB19",
"FileSystem IMSSEX16MB19","Mailto","Pass","hco-cmi@kionetworks.com francisco.diazpa@imss.gob.mx imss.monitoreo@imss.gob.mx mflores@kionetworks.com omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","21/04/22 03:42 PM","SERVIDORES 2016 (Correo Electronico): IMSSEX16MB19: FileSystem IMSSEX16MB19",
"FileSystem IMSSEX16MB23","Mailto","Pass","hco-cmi@kionetworks.com francisco.diazpa@imss.gob.mx imss.monitoreo@imss.gob.mx mflores@kionetworks.com omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","16/04/22 07:23 PM","SERVIDORES 2016 (Correo Electronico): IMSSEX16MB23: FileSystem IMSSEX16MB23",
"FileSystem IMSSEX16MB23","Mailto","Pass","hco-cmi@kionetworks.com francisco.diazpa@imss.gob.mx imss.monitoreo@imss.gob.mx mflores@kionetworks.com omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","18/04/22 12:33 PM","SERVIDORES 2016 (Correo Electronico): IMSSEX16MB23: FileSystem IMSSEX16MB23",
"FileSystem IMSSEX16MB23","Mailto","Pass","hco-cmi@kionetworks.com francisco.diazpa@imss.gob.mx imss.monitoreo@imss.gob.mx mflores@kionetworks.com omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","18/04/22 02:13 PM","SERVIDORES 2016 (Correo Electronico): IMSSEX16MB23: FileSystem IMSSEX16MB23",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","15/04/22 02:33 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","15/04/22 12:33 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","15/04/22 10:34 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","16/04/22 08:34 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
